,cos,l2,cost
wgan,0.13041585683822632,12.800424575805664,0.7015080451965332
wgan-gp,0.6058615446090698,0.8182616829872131,0.8143749237060547
wgan-lp,0.5984684824943542,0.8337016105651855,0.8325939178466797
sn-gan,0.1181601732969284,1.612684965133667,0.1522746980190277
lsot-f,-0.4682689905166626,1.8701536655426025,-0.3481101989746094
3p-wgan,0.4609440267086029,3.0710039138793945,1.17221200466156
sort-out,0.8340520858764648,0.31097275018692017,1.0774774551391602
wgan-qp,-0.4846518039703369,1.7788434028625488,-0.3310813903808594
cowgan,0.5106929540634155,12.267122268676758,2.7083206176757812
3p-wgan_rev,0.6423540711402893,0.7243296504020691,1.507021427154541
dot,-0.26208603382110596,2.528935432434082,12.074317932128906
true,1.0,0.0,1.3172576427459717
