,cos,l2,cost
wgan,0.2135995328426361,2.440168619155884,0.6048197746276855
wgan-gp,0.9246031045913696,0.1765986829996109,1.7004591226577759
wgan-lp,0.9246495962142944,0.17081286013126373,1.6622555255889893
sn-gan,0.2611425518989563,1.1570146083831787,0.337774395942688
lsot-f,0.18575039505958557,0.9790513515472412,0.06566429138183594
3p-wgan,0.7362918257713318,1.1189566850662231,1.578345537185669
sort-out,0.754249095916748,0.425775408744812,1.042108178138733
wgan-qp,0.6986926794052124,0.5208884477615356,0.5206596851348877
cowgan,0.8720856308937073,0.46795201301574707,1.8184113502502441
3p-wgan_rev,0.9004136323928833,0.1883159577846527,1.5358548164367676
dot,0.47380781173706055,1.048403263092041,2.191633462905884
true,1.0,0.0,1.5850093364715576
