,cos,l2,cost
wgan,0.21007052063941956,568.869873046875,5.912908554077148
wgan-gp,0.798785924911499,0.4351971745491028,0.9195461273193359
wgan-lp,0.7543259859085083,0.5207973122596741,0.8721656799316406
sn-gan,0.23366248607635498,1.5331066846847534,0.28566133975982666
lsot-f,-0.5485915541648865,2.118469476699829,-0.363800048828125
3p-wgan,0.6130896806716919,0.9145902991294861,0.7558732032775879
sort-out,0.9161096215248108,0.15463966131210327,0.9752340316772461
wgan-qp,-0.5742620229721069,2.0203027725219727,-0.37113285064697266
cowgan,0.4658823013305664,56.64857482910156,3.9065170288085938
3p-wgan_rev,0.5057212710380554,0.9858705997467041,0.7265543937683105
dot,-0.35864219069480896,2.718538284301758,18.898303985595703
true,1.0,0.0,1.072022795677185
