,cos,l2,cost
wgan,0.014440522529184818,0.8201051950454712,-0.006772471591830254
wgan-gp,0.19224485754966736,1.3959451913833618,0.0412449836730957
wgan-lp,0.49435102939605713,0.6268336176872253,0.10495638847351074
sn-gan,0.036639124155044556,0.7927441000938416,-0.0007553771138191223
lsot-f,0.04528162628412247,0.791551411151886,0.0018425583839416504
3p-wgan,0.43996214866638184,1.7094275951385498,0.16183656454086304
sort-out,0.5458114743232727,0.5552053451538086,0.035227805376052856
wgan-qp,0.4235554337501526,0.6179302930831909,0.06007486581802368
cowgan,0.47819405794143677,0.8225269317626953,0.11670152842998505
3p-wgan_rev,0.29411599040031433,1.2143278121948242,0.09968209266662598
dot,0.5216498374938965,0.691592812538147,0.15183928608894348
true,1.0,0.0,0.13364124298095703
