,cos,l2,cost
wgan,0.07032492011785507,0.8869061470031738,0.04410448670387268
wgan-gp,0.6812334060668945,0.45494967699050903,0.4221467971801758
wgan-lp,0.8103176355361938,0.15192826092243195,0.4785914421081543
sn-gan,0.15565001964569092,0.8446954488754272,0.07860156893730164
lsot-f,0.4437794089317322,0.6874294877052307,0.09064370393753052
3p-wgan,0.7530145645141602,1.9388177394866943,0.4714658260345459
sort-out,0.6946550607681274,0.31890976428985596,0.2835514545440674
wgan-qp,0.8256051540374756,0.14252248406410217,0.43704432249069214
cowgan,0.8021314144134521,0.14340433478355408,0.47288811206817627
3p-wgan_rev,0.6191345453262329,0.6077972650527954,0.45438194274902344
dot,0.8430933952331543,0.22163526713848114,0.4739348888397217
true,1.0,0.0,0.46618595719337463
