,cos,l2,cost
wgan,0.11974775791168213,1.9785786867141724,0.21006092429161072
wgan-gp,0.8170565366744995,0.4050224721431732,1.1626031398773193
wgan-lp,0.8272904753684998,0.3454776406288147,1.1824129819869995
sn-gan,0.1862674355506897,1.1124038696289062,0.17936301231384277
lsot-f,-0.07478302717208862,1.1171355247497559,-0.05879616737365723
3p-wgan,0.5242371559143066,17.116376876831055,2.7467684745788574
sort-out,0.4749455153942108,0.8284145593643188,0.5395157337188721
wgan-qp,0.5194516181945801,0.7228276133537292,0.21442946791648865
cowgan,0.6896824836730957,1.0111210346221924,1.4571080207824707
3p-wgan_rev,0.736657440662384,0.5168895721435547,1.282178282737732
dot,0.33167359232902527,1.3123377561569214,1.9242404699325562
true,1.0,0.0,1.2592902183532715
