,cos,l2,cost
wgan,0.14071762561798096,346.40460205078125,2.7974987030029297
wgan-gp,0.6414430737495422,0.7390230894088745,0.7109165191650391
wgan-lp,0.6226844787597656,0.7743660807609558,0.6866445541381836
sn-gan,0.13908939063549042,1.7005044221878052,0.19152814149856567
lsot-f,-0.5270540714263916,2.0953688621520996,-0.34348583221435547
3p-wgan,0.24113208055496216,4.70265007019043,0.6029338836669922
sort-out,0.6373950242996216,0.7269048690795898,0.6931896209716797
wgan-qp,-0.5529873371124268,1.9990930557250977,-0.3460512161254883
cowgan,0.47430169582366943,18.999217987060547,2.3745193481445312
3p-wgan_rev,0.3938017189502716,1.2167249917984009,0.5554842948913574
dot,-0.3474719524383545,2.69716739654541,18.919021606445312
true,1.0,0.0,1.0447593927383423
