,cos,l2,cost
wgan,0.03794647753238678,1.0754942893981934,0.018040001392364502
wgan-gp,0.37336233258247375,1.2094635963439941,0.22338104248046875
wgan-lp,0.6554644703865051,0.5367342233657837,0.3866109848022461
sn-gan,0.0988786369562149,0.9880093336105347,0.020916402339935303
lsot-f,-0.0047529311850667,0.9993435740470886,-0.006017863750457764
3p-wgan,0.5621718764305115,5.147895812988281,0.9059652090072632
sort-out,0.30942320823669434,0.8663062453269958,0.09207451343536377
wgan-qp,0.515438437461853,0.7081647515296936,0.10575190931558609
cowgan,0.5502645373344421,1.1810448169708252,0.5155563354492188
3p-wgan_rev,0.4539511501789093,1.081372618675232,0.4333813786506653
dot,0.4720083177089691,1.017255187034607,0.6378630995750427
true,1.0,0.0,0.4916260242462158
