,cos,l2,cost
wgan,0.07221673429012299,0.8485128283500671,0.03068605065345764
wgan-gp,0.8445631265640259,0.08748212456703186,0.857102632522583
wgan-lp,0.8176192045211792,0.1708088517189026,0.8850388526916504
sn-gan,0.213083416223526,0.7383276224136353,0.1522325873374939
lsot-f,0.5636354088783264,0.5064152479171753,0.427301824092865
3p-wgan,0.8010626435279846,1.290209174156189,0.7887762784957886
sort-out,0.772974967956543,0.21314646303653717,0.7595665454864502
wgan-qp,0.8589052557945251,0.0687517523765564,0.7940542697906494
cowgan,0.8514560461044312,0.07674765586853027,0.8000689744949341
3p-wgan_rev,0.6816327571868896,0.5265581607818604,0.7992761135101318
dot,0.8585110902786255,0.16201218962669373,0.8196123838424683
true,1.0,0.0,0.8173807263374329
