,cos,l2,cost
wgan,0.111472487449646,175.96725463867188,1.0903491973876953
wgan-gp,0.5621243715286255,0.8944888114929199,0.6015863418579102
wgan-lp,0.5627437829971313,0.9022287130355835,0.6401739120483398
sn-gan,0.09446464478969574,1.5680495500564575,0.09859240055084229
lsot-f,-0.5103783011436462,2.0696282386779785,-0.3236961364746094
3p-wgan,0.5254119634628296,0.7313153147697449,0.3311314582824707
sort-out,0.6124693751335144,0.7742248177528381,0.6470222473144531
wgan-qp,-0.5359588861465454,1.9819660186767578,-0.33457183837890625
cowgan,0.45474332571029663,25.467777252197266,2.562274932861328
3p-wgan_rev,0.3093484044075012,1.3769659996032715,0.3886995315551758
dot,-0.342835009098053,2.683314085006714,18.932540893554688
true,1.0,0.0,1.0415189266204834
