,cos,l2,cost
wgan,0.3325120210647583,6.896044731140137,1.7228059768676758
wgan-gp,0.9642370939254761,0.09054695069789886,2.0706253051757812
wgan-lp,0.9635607004165649,0.08941575139760971,2.1217799186706543
sn-gan,0.3522210121154785,1.2295310497283936,0.6330070495605469
lsot-f,-0.16044948995113373,1.2752201557159424,-0.15870451927185059
3p-wgan,0.9410865306854248,0.18703052401542664,1.9588896036148071
sort-out,0.9705642461776733,0.05886262655258179,1.888596773147583
wgan-qp,0.22788891196250916,0.9586976766586304,0.10775816440582275
cowgan,0.8341942429542542,2.180912494659424,2.855668306350708
3p-wgan_rev,0.9648563265800476,0.07056538760662079,2.0579676628112793
dot,0.17608878016471863,1.6679587364196777,4.128781318664551
true,1.0,0.0,1.9405474662780762
