,cos,l2,cost
wgan,0.09991447627544403,1.5862109661102295,0.09430411458015442
wgan-gp,0.5887386202812195,0.8213586807250977,0.709650993347168
wgan-lp,0.6783677339553833,0.6169860363006592,0.7824701070785522
sn-gan,0.1255115568637848,1.101677656173706,0.08174526691436768
lsot-f,-0.12974266707897186,1.1488842964172363,-0.05894660949707031
3p-wgan,0.5411583781242371,10.738920211791992,2.1031761169433594
sort-out,0.255525141954422,1.2613599300384521,0.2862262725830078
wgan-qp,0.2560955882072449,0.9394949674606323,0.04640217125415802
cowgan,0.49851155281066895,2.555572509765625,1.2063910961151123
3p-wgan_rev,0.559087336063385,0.8953255414962769,1.0368540287017822
dot,0.19945773482322693,1.5886714458465576,1.7907803058624268
true,1.0,0.0,1.0079543590545654
