,cos,l2,cost
wgan,0.1818416714668274,4.419195175170898,0.5210834741592407
wgan-gp,0.7282640933990479,0.5843331813812256,1.1905474662780762
wgan-lp,0.729777991771698,0.559143602848053,1.17702054977417
sn-gan,0.14085981249809265,1.536001205444336,0.19085869193077087
lsot-f,-0.4161142408847809,1.6852577924728394,-0.3452939987182617
3p-wgan,0.5788679122924805,2.543283462524414,1.683431625366211
sort-out,0.7395373582839966,0.49596014618873596,1.056875228881836
wgan-qp,-0.3960980176925659,1.508608341217041,-0.2625088691711426
cowgan,0.5225982069969177,6.447040557861328,2.3699588775634766
3p-wgan_rev,0.733942985534668,0.5250169634819031,2.215745210647583
dot,-0.14903174340724945,2.2960448265075684,7.232598781585693
true,1.0,0.0,1.5429142713546753
