,cos,l2,cost
wgan,0.20494714379310608,10.047544479370117,0.9952623844146729
wgan-gp,0.8977662920951843,0.2360253632068634,1.7105207443237305
wgan-lp,0.8989672660827637,0.22878633439540863,1.6125693321228027
sn-gan,0.21539418399333954,1.535677194595337,0.29105478525161743
lsot-f,-0.4190334379673004,1.6840713024139404,-0.37316298484802246
3p-wgan,0.7776596546173096,0.7038186192512512,1.6870510578155518
sort-out,0.9406468272209167,0.11762618273496628,1.5223264694213867
wgan-qp,-0.3708479404449463,1.4802029132843018,-0.26954221725463867
cowgan,0.6124287843704224,6.053274154663086,3.1573219299316406
3p-wgan_rev,0.8746248483657837,0.2528802156448364,2.0054049491882324
dot,-0.1338442862033844,2.2698757648468018,7.229851722717285
true,1.0,0.0,1.669706106185913
