,cos,l2,cost
wgan,0.48032891750335693,159134285824.0,6263912.0
wgan-gp,0.9208739995956421,2.1219770908355713,64.38860321044922
wgan-lp,0.9228776693344116,2.331690549850464,66.01910400390625
sn-gan,0.4282095432281494,28.93783950805664,78.47501373291016
lsot-f,0.11888616532087326,3.7941946983337402,3.159332275390625
3p-wgan,0.2063455581665039,601150.0,4673.04248046875
cowgan,0.013938318938016891,9456.2197265625,51.05461120605469
wgan-qp,0.14139652252197266,2.107543706893921,2.6001768112182617
3p-wgan_rev,0.9232784509658813,0.16868899762630463,41.245361328125
dot,0.20511987805366516,1.4313430786132812,53.54787063598633
true,1.0,0.0,29.78246307373047
