,cos,l2,cost
wgan,0.3409265875816345,2.0183663368225098,1.1087089776992798
wgan-gp,0.9611717462539673,0.09287145733833313,1.9979803562164307
wgan-lp,0.9612106084823608,0.09803812205791473,1.9842833280563354
sn-gan,0.35405752062797546,1.0797533988952637,0.5908432006835938
lsot-f,0.35695600509643555,0.8322980403900146,0.2365788221359253
3p-wgan,0.946353554725647,1.2831478118896484,1.8529188632965088
sort-out,0.8938764333724976,0.17727425694465637,1.6842458248138428
wgan-qp,0.7476803660392761,0.40486907958984375,0.7426374554634094
cowgan,0.9384911060333252,0.28100013732910156,2.0899603366851807
3p-wgan_rev,0.9660355448722839,0.06482279300689697,1.8918938636779785
dot,0.5618855357170105,0.8800169229507446,2.420281410217285
true,1.0,0.0,1.8816888332366943
