,cos,l2,cost
wgan,0.3868524432182312,26.254478454589844,3.311551094055176
wgan-gp,0.9181520938873291,0.1817522943019867,1.3782768249511719
wgan-lp,0.9224689602851868,0.17266175150871277,1.4599170684814453
sn-gan,0.4328076243400574,1.1303024291992188,0.6541778445243835
lsot-f,-0.5393291115760803,1.928179144859314,-0.43071556091308594
3p-wgan,0.6622459888458252,1.181712031364441,1.223557472229004
sort-out,0.95895916223526,0.08290509879589081,1.4251632690429688
wgan-qp,-0.5268406867980957,1.8076378107070923,-0.39379310607910156
cowgan,0.5398033857345581,23.543764114379883,4.599636554718018
3p-wgan_rev,0.6840683221817017,0.6285706758499146,3.3205432891845703
dot,-0.28054821491241455,2.5577359199523926,12.01303482055664
true,1.0,0.0,1.4112763404846191
