,cos,l2,cost
wgan,0.13861359655857086,5.352855205535889,0.35739564895629883
wgan-gp,0.5310397148132324,0.9631019830703735,0.6737442016601562
wgan-lp,0.5271515846252441,0.980444073677063,0.6933813095092773
sn-gan,0.11083433777093887,1.3854848146438599,0.12485681474208832
lsot-f,-0.4533527195453644,1.8556041717529297,-0.3246192932128906
3p-wgan,0.45542633533477783,1.750581979751587,0.7850971221923828
sort-out,0.6561440229415894,0.678786039352417,0.8014097213745117
wgan-qp,-0.4731857478618622,1.771634578704834,-0.3168797492980957
cowgan,0.4602818489074707,14.970701217651367,2.612255096435547
3p-wgan_rev,0.49527880549430847,0.9985352754592896,1.017099380493164
dot,-0.25888705253601074,2.5254006385803223,12.090595245361328
true,1.0,0.0,1.2825801372528076
