,cos,l2,cost
wgan,0.09348881989717484,1.089988112449646,0.19121170043945312
wgan-gp,0.8621938228607178,0.24204716086387634,1.0557655096054077
wgan-lp,0.9000502824783325,0.16741015017032623,1.0575282573699951
sn-gan,0.23667511343955994,0.9330778121948242,0.1800692081451416
lsot-f,0.3809112012386322,0.8161607980728149,0.15204012393951416
3p-wgan,0.742786169052124,1.7771103382110596,1.1204794645309448
sort-out,0.7265432476997375,0.44235455989837646,0.557368278503418
wgan-qp,0.8699263334274292,0.2266908586025238,0.6660486459732056
cowgan,0.9026670455932617,0.1651127189397812,1.009341835975647
3p-wgan_rev,0.7973525524139404,0.38416242599487305,0.9932934045791626
dot,0.7723244428634644,0.44080790877342224,1.072008728981018
true,1.0,0.0,1.0034816265106201
