,cos,l2,cost
wgan,0.06541648507118225,0.847385048866272,-0.005056530237197876
wgan-gp,0.3545471131801605,1.0844857692718506,0.1267712116241455
wgan-lp,0.6764063835144043,0.33980706334114075,0.22368431091308594
sn-gan,0.07457476109266281,0.8193503618240356,0.003351941704750061
lsot-f,0.1109151691198349,0.8110492825508118,0.002220451831817627
3p-wgan,0.5823814868927002,1.7613141536712646,0.2771589756011963
sort-out,0.661374032497406,0.45385390520095825,0.08537724614143372
wgan-qp,0.6544752717018127,0.4015403091907501,0.18656215071678162
cowgan,0.6273659467697144,0.5103527307510376,0.21384978294372559
3p-wgan_rev,0.46459317207336426,0.9039991497993469,0.21509027481079102
dot,0.7170018553733826,0.3843887448310852,0.23679818212985992
true,1.0,0.0,0.2302784025669098
