,cos,l2,cost
wgan,0.16910386085510254,2.451641082763672,0.29683566093444824
wgan-gp,0.5626433491706848,0.9228630065917969,0.8706960678100586
wgan-lp,0.549379825592041,0.9169496297836304,0.8017387390136719
sn-gan,0.14270639419555664,1.270002007484436,0.1214245930314064
lsot-f,-0.37537792325019836,1.64448082447052,-0.2933673858642578
3p-wgan,0.3632095456123352,5.373584747314453,1.345914363861084
sort-out,0.5345038175582886,0.8707655072212219,0.7330756187438965
wgan-qp,-0.3845950961112976,1.509305477142334,-0.2440168857574463
cowgan,0.4214118421077728,9.522233963012695,2.033914566040039
3p-wgan_rev,0.46916085481643677,1.057706594467163,1.8010985851287842
dot,-0.14879721403121948,2.3016576766967773,7.260654449462891
true,1.0,0.0,1.4123386144638062
