,cos,l2,cost
wgan,0.4020598232746124,12.345970153808594,2.8463170528411865
wgan-gp,0.954653263092041,0.11047142744064331,1.9799237251281738
wgan-lp,0.9488829374313354,0.11998017132282257,1.917097568511963
sn-gan,0.41946208477020264,1.1598598957061768,0.7326593399047852
lsot-f,-0.35590147972106934,1.6124095916748047,-0.3575921058654785
3p-wgan,0.8862192630767822,0.2749026119709015,1.7593251466751099
sort-out,0.983127236366272,0.034950610250234604,1.7768373489379883
wgan-qp,-0.26750272512435913,1.4034953117370605,-0.2261343002319336
cowgan,0.5609145760536194,10.998952865600586,4.050326824188232
3p-wgan_rev,0.9359769821166992,0.12948095798492432,2.2620904445648193
dot,-0.08666064590215683,2.166867256164551,7.255861282348633
true,1.0,0.0,1.821666955947876
