,cos,l2,cost
wgan,0.15366297960281372,3.416978359222412,0.5201615691184998
wgan-gp,0.784601628780365,0.4611528515815735,1.3557157516479492
wgan-lp,0.7829818725585938,0.4573233723640442,1.3476676940917969
sn-gan,0.16284097731113434,1.3211029767990112,0.19472438097000122
lsot-f,-0.23597794771194458,1.393539547920227,-0.19753026962280273
3p-wgan,0.6194782257080078,1.9230644702911377,1.7441515922546387
sort-out,0.5692273378372192,0.7739226818084717,0.8494062423706055
wgan-qp,-0.03449341282248497,1.115518569946289,-0.05131340026855469
cowgan,0.5823062658309937,2.8412137031555176,2.138059616088867
3p-wgan_rev,0.7312366366386414,0.5334937572479248,1.8045449256896973
dot,0.059001170098781586,1.8992112874984741,3.9819703102111816
true,1.0,0.0,1.5536373853683472
