,cos,l2,cost
wgan,0.1966330111026764,22.06393051147461,1.3118104934692383
wgan-gp,0.7502630352973938,0.5325784087181091,1.0921568870544434
wgan-lp,0.7554318904876709,0.5194858312606812,1.1458373069763184
sn-gan,0.2210322916507721,1.5565812587738037,0.319577693939209
lsot-f,-0.48211127519607544,1.8718976974487305,-0.37429285049438477
3p-wgan,0.2641187906265259,26.939250946044922,1.8367862701416016
sort-out,0.9465277194976807,0.1096922904253006,1.3674049377441406
wgan-qp,-0.49265894293785095,1.7729493379592896,-0.35213661193847656
cowgan,0.597844123840332,13.24088191986084,3.577633857727051
3p-wgan_rev,0.5421102046966553,0.9238743185997009,4.351480007171631
dot,-0.259827584028244,2.5256948471069336,12.052886009216309
true,1.0,0.0,1.3595139980316162
