,cos,l2,cost
wgan,0.15524417161941528,1.7747060060501099,0.2853642404079437
wgan-gp,0.6070432662963867,0.827238917350769,0.9136767387390137
wgan-lp,0.5981842875480652,0.7900807857513428,0.9112151861190796
sn-gan,0.17607328295707703,1.121422529220581,0.1414474993944168
lsot-f,-0.24421252310276031,1.4057605266571045,-0.17966151237487793
3p-wgan,0.4426131546497345,7.966311454772949,1.872281789779663
sort-out,0.3976151943206787,1.089333415031433,0.5533852577209473
wgan-qp,-0.1839802861213684,1.1912357807159424,-0.09660506248474121
cowgan,0.45860663056373596,4.778495788574219,1.6810274124145508
3p-wgan_rev,0.5258854031562805,0.9325642585754395,1.548420786857605
dot,0.001197979087010026,1.9924145936965942,3.932365894317627
true,1.0,0.0,1.398868203163147
