,cos,l2,cost
wgan,0.3618828058242798,556.5968017578125,9.440750122070312
wgan-gp,0.9228607416152954,0.16978536546230316,1.1355533599853516
wgan-lp,0.925582766532898,0.16078370809555054,1.1438074111938477
sn-gan,0.37049686908721924,1.2505730390548706,0.3694901466369629
lsot-f,-0.5348660945892334,2.0992164611816406,-0.3815298080444336
3p-wgan,0.49044269323349,2.1594009399414062,0.9686729907989502
sort-out,0.9313216209411621,0.13012871146202087,1.0472755432128906
wgan-qp,-0.5659992694854736,2.0045111179351807,-0.3817319869995117
cowgan,0.49937111139297485,95.32838439941406,7.202369689941406
3p-wgan_rev,0.5102816820144653,0.9806667566299438,0.5966558456420898
dot,-0.35043591260910034,2.7000231742858887,18.876379013061523
true,1.0,0.0,1.1424062252044678
