,cos,l2,cost
wgan,0.2674046754837036,1.138319969177246,0.4060925841331482
wgan-gp,0.9494811296463013,0.09389510005712509,1.447287917137146
wgan-lp,0.9489457607269287,0.08745553344488144,1.4816343784332275
sn-gan,0.359933465719223,0.853157639503479,0.4418603181838989
lsot-f,0.6974015235900879,0.5841652154922485,0.45370227098464966
3p-wgan,0.9134863018989563,1.630845546722412,1.346635103225708
sort-out,0.9054311513900757,0.1338077187538147,1.2656725645065308
wgan-qp,0.9133330583572388,0.14882084727287292,1.0758064985275269
cowgan,0.9597333669662476,0.0601348876953125,1.4221980571746826
3p-wgan_rev,0.9192616939544678,0.14476378262043,1.372736930847168
dot,0.8415626287460327,0.29523906111717224,1.4335498809814453
true,1.0,0.0,1.385270357131958
