,cos,l2,cost
wgan,0.32700660824775696,5976826.0,16104.052734375
wgan-gp,0.9241011738777161,1.3471585512161255,36.162837982177734
wgan-lp,0.9258084893226624,1.135061502456665,36.75366973876953
sn-gan,0.35065603256225586,3.327793598175049,13.26158618927002
lsot-f,0.3603168725967407,1.8701348304748535,5.5492448806762695
3p-wgan,0.45567312836647034,243785121792.0,4138024.25
cowgan,0.09044694900512695,178.84259033203125,24.362133026123047
wgan-qp,0.3774426281452179,1.2891883850097656,4.213598251342773
3p-wgan_rev,0.9125633835792542,0.1601731777191162,23.468502044677734
dot,0.5504598021507263,0.9535620212554932,25.347536087036133
true,1.0,0.0,18.82365608215332
